Ambition of the Slimes
 United States, $5.00
 Canada, $6.89
 Mexico, $109.00
 Sweden, 57.00 kr
 Denmark, 43.00 kr.
 Switzerland, CHF6.70
 Australia, $8.95
 New Zealand, $9.85
 Norway, 56.00 kr
 South Africa, R97.00
