Her Majesty's SPIFFING
 Mexico, $159.99
 Canada, $10.99
 Norway, 79.00 kr
 United States, $9.99
 New Zealand, $14.99
 South Africa, R129.95
 Australia, $13.99
 Sweden, 99.00 kr
 Denmark, 74.50 kr.
 Switzerland, CHF13.99
