Super Bomberman R
 United States, $39.99
 Canada, $51.99
 Mexico, $999.00
 South Africa, R650.00
 Norway, 440.00 kr
 Sweden, 480.00 kr
 Switzerland, CHF54.99
 Denmark, 375.00 kr.
 Australia, $89.95
 New Zealand, $109.95
