Semispheres
 Canada, $11.99
 Norway, 79.00 kr
 United States, $9.99
 Mexico, $199.99
 South Africa, R129.95
 New Zealand, $15.99
 Sweden, 99.00 kr
 Australia, $14.99
 Denmark, 75.00 kr.
 Switzerland, CHF13.99
