A Robot Named Fight
 Norway, 88.00 kr
 South Africa, R144.00
 Sweden, 110.00 kr
 Mexico, $249.99
 Australia, $16.99
 Denmark, 82.50 kr.
 United States, $12.99
 Canada, $16.99
 Switzerland, CHF15.40
