JYDGE
 Mexico, $249.99
 Canada, $17.99
 United States, $14.99
 Sweden, 139.00 kr
 Australia, $21.99
 Denmark, 109.00 kr.
 Norway, 139.00 kr
 Switzerland, CHF16.99
 South Africa, R239.00
