Bulb Boy
 Norway, 64.00 kr
 Australia, $10.40
 Mexico, $159.00
 South Africa, R104.00
 United States, $8.99
 Sweden, 80.00 kr
 Canada, $11.99
 Denmark, 60.00 kr.
 Switzerland, CHF11.20
