One Eyed Kutkh
 Mexico, $74.72
 Norway, 32.00 kr
 Canada, $5.15
 United States, $3.99
 South Africa, R52.00
 Australia, $6.00
 New Zealand, $6.60
 Sweden, 40.00 kr
 Denmark, 30.00 kr.
 Switzerland, CHF5.60
