Die for Valhalla!
 Mexico, $189.00
 United States, $9.99
 Canada, $12.99
 Norway, 99.00 kr
 South Africa, R159.00
 Australia, $17.99
 Sweden, 119.00 kr
 Denmark, 89.00 kr.
