 Canada, $11.99
 Mexico, $189.00
 United States, $9.99
 Norway, 89.00 kr
 Sweden, 99.00 kr
 Australia, $14.99
 New Zealand, $16.99
 Denmark, 75.00 kr.
 South Africa, R159.00
 Switzerland, CHF12.99
