The Count Lucanor
 Mexico, $260.00
 Canada, $17.99
 Norway, 120.00 kr
 United States, $14.99
 South Africa, R195.00
 Australia, $22.49
 Sweden, 150.00 kr
 New Zealand, $24.95
 Denmark, 112.00 kr.
 Switzerland, CHF21.00
