LEGO Worlds
 Canada, $29.99
 United States, $29.99
 Norway, 269.00 kr
 Sweden, 289.00 kr
 South Africa, R429.00
 Switzerland, CHF34.90
 Denmark, 239.00 kr.
 Australia, $49.95
 New Zealand, $54.95
 Mexico, $799.00
