The Mystery of the Hudson Case
 Norway, 35.00 kr
 South Africa, R58.00
 Mexico, $91.44
 Canada, $6.31
 United States, $4.89
 Australia, $6.60
 New Zealand, $7.25
 Sweden, 44.00 kr
