Yoku's Island Express
 Canada, $22.67
 Norway, 144.00 kr
 Mexico, $349.02
 United States, $17.99
 New Zealand, $26.10
 Australia, $24.30
 South Africa, R235.80
 Sweden, 180.00 kr
 Denmark, 135.00 kr.
 Switzerland, CHF25.20
