The Adventure Pals
 Norway, 96.00 kr
 South Africa, R157.00
 Australia, $18.00
 New Zealand, $19.80
 Sweden, 120.00 kr
 Denmark, 90.00 kr.
 Mexico, $280.31
 Canada, $19.34
 United States, $14.99
 Switzerland, CHF16.80
