Spartan
 Norway, 26.00 kr
 South Africa, R42.90
 Australia, $4.95
 New Zealand, $5.44
 Sweden, 33.00 kr
 Canada, $4.99
 Denmark, 24.75 kr.
 Mexico, $76.99
 United States, $3.99
 Switzerland, CHF4.62
