Qbics Paint
 Canada, $4.99
 Mexico, $89.99
 Norway, 39.00 kr
 Australia, $6.49
 United States, $4.99
 South Africa, R65.00
 Sweden, 49.00 kr
 New Zealand, $8.49
 Denmark, 39.00 kr.
 Switzerland, CHF7.99
