Red Game Without a Great Name
 Mexico, $37.40
 Canada, $2.58
 Norway, 24.00 kr
 United States, $2.99
 South Africa, R39.00
 Australia, $4.50
 New Zealand, $4.95
 Sweden, 30.00 kr
 Denmark, 22.50 kr.
 Switzerland, CHF4.20
