King Oddball
 Mexico, $89.99
 Canada, $5.99
 United States, $4.99
 Switzerland, CHF4.99
 Sweden, 44.00 kr
 Australia, $6.99
 Norway, 44.00 kr
 Denmark, 35.00 kr.
 New Zealand, $7.99
 South Africa, R74.95
