Batman - The Telltale Series
 Canada, $49.99
 United States, $39.99
 Switzerland, CHF44.90
 Norway, 379.00 kr
 Sweden, 409.00 kr
 Australia, $62.95
 Mexico, $949.00
 Denmark, 350.00 kr.
 New Zealand, $79.95
 South Africa, R699.00
