KAMIKO
 Australia, $6.50
 Norway, 40.00 kr
 United States, $4.99
 Mexico, $99.99
 South Africa, R65.00
 Canada, $6.99
 Sweden, 50.00 kr
 New Zealand, $8.50
 Denmark, 37.50 kr.
 Switzerland, CHF7.00
