RXN -Raijin-
 Norway, 256.00 kr
 South Africa, R416.00
 Mexico, $710.00
 Australia, $48.00
 New Zealand, $52.80
 Sweden, 320.00 kr
 Denmark, 240.00 kr.
 Canada, $49.00
 United States, $38.00
 Switzerland, CHF44.80
