The Way Remastered
 Mexico, $195.30
 Canada, $13.29
 United States, $10.49
 South Africa, R139.30
 Sweden, 104.00 kr
 Norway, 97.00 kr
 Denmark, 76.25 kr.
 Switzerland, CHF12.59
 Australia, $16.79
