Outlast 2
 South Africa, R249.00
 Mexico, $399.00
 Canada, $34.99
 New Zealand, $39.95
 Norway, 240.00 kr
 United States, $29.99
 Australia, $39.95
 Denmark, 200.00 kr.
 Sweden, 299.00 kr
 Switzerland, CHF39.00
