Lost Sea
 Norway, 71.00 kr
 South Africa, R116.10
 Mexico, $189.00
 United States, $9.99
 Canada, $12.99
 Sweden, 89.00 kr
 Australia, $13.49
 New Zealand, $14.84
 Denmark, 67.50 kr.
 Switzerland, CHF12.59
