Oh...Sir! The Hollywood Roast
 United States, $2.99
 Mexico, $59.00
 Switzerland, CHF3.00
 Canada, $3.99
 New Zealand, $4.49
 Australia, $4.49
 Sweden, 30.00 kr
 Denmark, 25.00 kr.
 South Africa, R49.95
 Norway, 33.00 kr
