Kid Tripp
 Mexico, $64.99
 Canada, $4.49
 Australia, $5.20
 Norway, 32.00 kr
 United States, $3.99
 South Africa, R52.00
 Sweden, 40.00 kr
 New Zealand, $6.80
 Denmark, 30.00 kr.
 Switzerland, CHF5.60
