Xenoraid
 Mexico, $189.00
 United States, $9.99
 Canada, $12.99
 Sweden, 99.00 kr
 Australia, $14.99
 Norway, 95.00 kr
 New Zealand, $16.99
 Denmark, 75.00 kr.
 South Africa, R149.00
 Switzerland, CHF12.99
