 Mexico, $180.00
 Canada, $12.59
 Norway, 84.00 kr
 United States, $10.49
 South Africa, R136.50
 Sweden, 105.00 kr
 Denmark, 78.25 kr.
 Switzerland, CHF14.70
 Australia, $22.49
 New Zealand, $24.75
