Neonwall
 Mexico, $168.30
 Norway, 72.00 kr
 Canada, $11.61
 South Africa, R117.00
 United States, $9.99
 Australia, $13.50
 New Zealand, $14.85
 Sweden, 90.00 kr
 Denmark, 67.50 kr.
 Switzerland, CHF12.60
