Ninja Shodown
 Norway, 104.00 kr
 South Africa, R169.00
 Australia, $19.50
 New Zealand, $21.45
 Sweden, 130.00 kr
 United States, $14.95
 Denmark, 97.50 kr.
 Canada, $19.95
 Mexico, $301.98
 Switzerland, CHF18.20
