60 Seconds!
 Mexico, $46.00
 Canada, $3.20
 United States, $2.49
 Sweden, 24.00 kr
 Australia, $3.75
 New Zealand, $4.12
 Denmark, 18.75 kr.
 Norway, 24.00 kr
 Switzerland, CHF2.99
 South Africa, R40.00
