Tales of the Tiny Planet
 Mexico, $349.00
 Canada, $23.99
 Norway, 159.00 kr
 United States, $19.99
 South Africa, R259.00
 New Zealand, $29.99
 Australia, $29.99
 Sweden, 199.00 kr
 Denmark, 149.00 kr.
 Switzerland, CHF27.99
