Piczle Lines DX
 Norway, 120.00 kr
 United States, $14.99
 Canada, $19.50
 Australia, $19.99
 Mexico, $299.99
 South Africa, R195.00
 Sweden, 150.00 kr
 New Zealand, $24.99
 Denmark, 115.00 kr.
 Switzerland, CHF21.00
