Super Saurio Fly
 Norway, 103.00 kr
 South Africa, R168.00
 Mexico, $280.50
 Australia, $19.35
 Sweden, 129.00 kr
 Canada, $19.35
 Denmark, 96.75 kr.
 United States, $15.95
 Switzerland, CHF18.10
