Thimbleweed Park
 New Zealand, $23.99
 Canada, $21.99
 Norway, 140.00 kr
 Australia, $22.99
 Switzerland, CHF19.00
 United States, $19.99
 Mexico, $400.00
 South Africa, R260.00
 Denmark, 140.00 kr.
 Sweden, 200.00 kr
