 Ninja-Kid
 Norway, 56.00 kr
 South Africa, R91.00
 Canada, $9.87
 Mexico, $150.99
 Australia, $10.50
 New Zealand, $11.55
 United States, $7.99
 Sweden, 70.00 kr
