DRAGON BALL Xenoverse 2 for Nintendo Switch
 Mexico, $890.00
 United States, $49.99
 Canada, $64.99
 Australia, $89.95
 Sweden, 599.00 kr
 New Zealand, $99.99
 Switzerland, CHF69.90
 South Africa, R899.00
 Norway, 599.00 kr
 Denmark, 499.00 kr.
