Star Ghost
 Mexico, $149.99
 Canada, $9.99
 Norway, 72.00 kr
 United States, $8.99
 South Africa, R117.00
 Australia, $13.50
 New Zealand, $14.85
 Sweden, 90.00 kr
 Denmark, 67.50 kr.
 Switzerland, CHF12.60
