Nihilumbra
 New Zealand, $9.99
 South Africa, R89.95
 Norway, 59.00 kr
 Australia, $9.99
 Mexico, $149.99
 Canada, $9.99
 Denmark, 49.75 kr.
 Sweden, 69.00 kr
 United States, $7.99
 Switzerland, CHF9.99
