MXGP3 - The Official Motocross Videogame
 Canada, $49.99
 United States, $39.99
 Norway, 400.00 kr
 Mexico, $999.00
 South Africa, R650.00
 Switzerland, CHF54.99
 New Zealand, $82.50
 Sweden, 500.00 kr
