Resident Evil Revelations
 Australia, $24.95
 Canada, $24.99
 United States, $19.99
 Switzerland, CHF19.90
 Mexico, $399.00
 Norway, 179.00 kr
 Sweden, 199.00 kr
 New Zealand, $34.95
 Denmark, 159.00 kr.
 South Africa, R329.00
