Qbik
 Mexico, $17.49
 Canada, $1.24
 United States, $1.24
 Norway, 39.00 kr
 South Africa, R65.00
 New Zealand, $7.99
 Sweden, 49.00 kr
 Australia, $7.50
 Denmark, 37.00 kr.
 Switzerland, CHF6.99
