Knights of Pen and Paper +1 Deluxier Edition
 Canada, $18.99
 Norway, 120.00 kr
 Mexico, $289.99
 United States, $14.99
 South Africa, R197.00
 Australia, $22.50
 New Zealand, $24.75
 Sweden, 150.00 kr
 Denmark, 112.50 kr.
 Switzerland, CHF21.00
