Subsurface Circular
 Mexico, $65.99
 Norway, 40.00 kr
 Canada, $6.49
 United States, $5.99
 South Africa, R78.00
 Australia, $8.99
 Sweden, 60.00 kr
 New Zealand, $9.99
 Denmark, 45.00 kr.
 Switzerland, CHF8.40
