Tallowmere
 Canada, $8.49
 Mexico, $128.99
 Norway, 56.00 kr
 United States, $6.99
 South Africa, R91.00
 Australia, $10.50
 New Zealand, $11.55
 Sweden, 70.00 kr
 Denmark, 52.50 kr.
 Switzerland, CHF9.80
