A Normal Lost Phone
 Mexico, $99.99
 Canada, $6.99
 United States, $5.99
 Norway, 49.00 kr
 South Africa, R79.95
 Sweden, 59.00 kr
 Australia, $9.99
 Denmark, 49.00 kr.
 Switzerland, CHF8.49
