1-2-Switch
 United States, $49.99
 Canada, $64.99
 South Africa, R629.00
 Norway, 409.00 kr
 Sweden, 449.00 kr
 Australia, $69.95
 New Zealand, $79.95
 Denmark, 399.00 kr.
 Switzerland, CHF64.90
 Mexico, $1,399.00
