Street Fighter 30th Anniversary Collection
 Canada, $49.99
 United States, $39.99
 Norway, 399.00 kr
 Switzerland, CHF49.90
 Mexico, $999.00
 Sweden, 449.00 kr
 Australia, $79.95
 New Zealand, $89.95
 South Africa, R779.00
 Denmark, 399.00 kr.
