Packet Queen #
 Mexico, $89.99
 Canada, $5.99
 New Zealand, $6.99
 United States, $4.99
 Australia, $6.99
 Sweden, 48.00 kr
 South Africa, R69.95
 Denmark, 37.00 kr.
 Norway, 48.00 kr
 Switzerland, CHF5.99
