Floor Kids
 Canada, $19.90
 Norway, 136.00 kr
 South Africa, R220.00
 Mexico, $355.00
 Sweden, 170.00 kr
 Australia, $25.99
 United States, $19.90
 Denmark, 127.25 kr.
 New Zealand, $28.99
 Switzerland, CHF23.99
