Light Fall
 Norway, 110.00 kr
 Sweden, 120.00 kr
 New Zealand, $19.99
 South Africa, R175.00
 Mexico, $274.99
 Denmark, 90.00 kr.
 Canada, $18.49
 United States, $14.99
 Australia, $19.99
 Switzerland, CHF15.50
