Gear.Club Unlimited
 Mexico, $579.00
 Canada, $44.99
 United States, $44.99
 New Zealand, $79.99
 Sweden, 499.00 kr
 Switzerland, CHF60.00
 Australia, $79.95
 Norway, 499.00 kr
 Denmark, 399.00 kr.
 South Africa, R800.00
