Superola and the Lost Burgers
 Canada, $6.45
 Mexico, $99.99
 Norway, 48.00 kr
 United States, $5.99
 South Africa, R79.95
 Sweden, 59.00 kr
 Australia, $8.99
 New Zealand, $9.99
 Denmark, 44.75 kr.
 Switzerland, CHF7.99
