GUILT BATTLE ARENA
 Mexico, $177.00
 Canada, $12.79
 United States, $9.99
 Switzerland, CHF10.00
 South Africa, R129.00
 Australia, $14.95
 Sweden, 99.00 kr
 New Zealand, $16.50
 Norway, 99.00 kr
 Denmark, 79.00 kr.
