Gorogoa
 Mexico, $149.99
 South Africa, R149.00
 Norway, 103.00 kr
 New Zealand, $18.99
 Australia, $17.99
 Canada, $17.99
 United States, $14.99
 Switzerland, CHF15.00
 Sweden, 140.00 kr
 Denmark, 105.00 kr.
