PAYDAY 2
 Mexico, $919.99
 Norway, 399.00 kr
 Canada, $63.99
 United States, $49.99
 South Africa, R649.00
 Australia, $74.99
 New Zealand, $82.50
 Sweden, 499.00 kr
 Denmark, 375.00 kr.
 Switzerland, CHF69.00
