Spelunker Party!
 Mexico, $535.00
 United States, $29.99
 Switzerland, CHF29.90
 Norway, 249.00 kr
 Sweden, 269.00 kr
 Canada, $39.99
 New Zealand, $48.99
 Australia, $46.99
 Denmark, 229.00 kr.
 South Africa, R475.00
