Time Recoil
 Mexico, $249.99
 Canada, $17.99
 United States, $13.99
 Australia, $19.99
 Denmark, 99.00 kr.
 Norway, 129.00 kr
 Sweden, 139.00 kr
 South Africa, R199.00
 Switzerland, CHF19.00
