Flinthook
 Norway, 98.00 kr
 South Africa, R160.00
 Mexico, $259.99
 Australia, $18.30
 Canada, $17.99
 New Zealand, $20.15
 Sweden, 122.00 kr
 Denmark, 91.50 kr.
 United States, $14.99
 Switzerland, CHF17.10
