The Bridge
 Norway, 32.00 kr
 South Africa, R52.00
 Australia, $6.00
 New Zealand, $6.60
 Sweden, 40.00 kr
 Denmark, 30.00 kr.
 Switzerland, CHF5.60
 Canada, $12.69
 Mexico, $194.13
 United States, $9.99
