Crash Bandicoot N. Sane Trilogy
 United States, $39.99
 Switzerland, CHF39.90
 Sweden, 369.00 kr
 Canada, $54.99
 Norway, 349.00 kr
 Denmark, 319.00 kr.
 South Africa, R629.00
 Mexico, $999.00
 Australia, $69.95
 New Zealand, $79.95
