Don't Knock Twice
 Norway, 89.00 kr
 South Africa, R144.00
 Canada, $14.99
 Mexico, $227.00
 Australia, $15.99
 United States, $12.49
 Sweden, 111.00 kr
 Denmark, 84.00 kr.
 Switzerland, CHF15.50
