Romancing SaGa 2
 Mexico, $448.80
 Canada, $30.96
 United States, $24.99
 Switzerland, CHF24.90
 Norway, 209.00 kr
 Sweden, 229.00 kr
 New Zealand, $39.95
 Australia, $37.95
 Denmark, 189.00 kr.
 South Africa, R399.00
